,street_width,street_traffic,street_lane,street_orientation
110,41.5,1.0,3.0,2.0
111,33.142857,1.0,2.5238094,2.0
112,33.142857,1.0,2.5238094,2.0
113,33.142857,1.0,2.5238094,2.0
114,25.09091,1.0,2.090909,2.0
115,25.09091,1.0,2.090909,2.0
116,24.6,1.0,2.2,0.0
117,24.6,1.0,2.2,0.0
118,24.6,1.0,2.2,0.0
119,24.6,1.0,2.2,0.0
120,24.6,1.0,2.2,0.0
121,26.6,1.0,2.0,2.0
122,26.6,1.0,2.0,2.0
123,26.6,1.0,2.0,2.0
124,26.6,1.0,2.0,2.0
125,26.6,1.0,2.0,2.0
126,25.0,1.0,2.0,2.0
127,28.5,4.0,2.0,2.0
128,28.5,4.0,2.0,2.0
129,30.0,4.0,2.0,2.0
130,0.0,-1.0,0.0,-1.0
131,0.0,-1.0,0.0,-1.0
132,0.0,-1.0,0.0,-1.0
133,33.5,4.0,4.0,3.0
134,33.5,4.0,4.0,3.0
135,33.5,4.0,4.0,3.0
136,33.5,4.0,4.0,3.0
137,33.5,4.0,4.0,3.0
138,33.5,4.0,4.0,3.0
139,33.5,4.0,4.0,3.0
140,33.5,4.0,4.0,3.0
141,33.5,4.0,4.0,3.0
142,33.5,4.0,4.0,3.0
143,33.5,4.0,4.0,3.0
144,33.5,4.0,4.0,3.0
145,33.5,4.0,4.0,3.0
146,33.5,4.0,4.0,3.0
147,33.5,4.0,4.0,3.0
148,33.5,4.0,4.0,3.0
149,33.5,4.0,4.0,3.0
150,33.5,4.0,4.0,3.0
151,33.5,4.0,4.0,3.0
152,33.5,4.0,4.0,3.0
153,33.5,4.0,4.0,3.0
154,33.5,4.0,4.0,3.0
155,33.5,4.0,4.0,3.0
156,33.5,4.0,4.0,3.0
157,34.25,3.0,4.0,2.0
158,33.75,3.0,4.0,2.0
159,33.75,3.0,4.0,2.0
160,33.75,3.0,4.0,2.0
161,33.75,3.0,4.0,2.0
162,34.0,3.0,4.0,2.0
163,34.0,3.0,4.0,2.0
164,34.0,3.0,4.0,2.0
165,34.0,3.0,4.0,2.0
166,34.0,3.0,4.0,2.0
167,40.25,3.0,4.0,2.0
168,40.25,3.0,4.0,2.0
169,40.25,3.0,4.0,2.0
170,40.25,3.0,4.0,2.0
171,40.25,3.0,4.0,2.0
172,0.0,-1.0,0.0,-1.0
173,0.0,-1.0,0.0,-1.0
174,0.0,-1.0,0.0,-1.0
175,0.0,-1.0,0.0,-1.0
176,34.0,3.0,4.0,3.0
177,0.0,-1.0,0.0,-1.0
178,34.0,3.0,4.0,3.0
179,32.5,3.0,3.3333333,3.0
180,32.5,3.0,3.3333333,3.0
181,32.5,3.0,3.3333333,3.0
182,34.5,3.0,4.0,2.0
183,34.5,3.0,4.0,2.0
184,34.5,3.0,4.0,2.0
185,34.5,3.0,4.0,2.0
186,34.5,3.0,4.0,2.0
187,34.5,3.0,4.0,2.0
188,34.5,3.0,4.0,2.0
189,34.5,3.0,4.0,2.0
190,34.5,3.0,4.0,2.0
191,34.333332,3.0,4.0,2.0
192,34.333332,3.0,4.0,2.0
193,34.333332,3.0,4.0,2.0
194,34.0,3.0,4.0,2.0
195,34.0,3.0,4.0,2.0
196,34.0,3.0,4.0,2.0
197,34.0,3.0,4.0,2.0
198,34.0,3.0,4.0,2.0
199,34.0,3.0,4.0,2.0
200,34.0,3.0,4.0,2.0
201,34.0,3.0,4.0,2.0
202,34.0,3.0,4.0,2.0
203,34.0,3.0,4.0,2.0
204,34.0,3.0,4.0,2.0
205,34.0,3.0,4.0,2.0
206,34.0,3.0,4.0,2.0
207,34.0,3.0,4.0,2.0
208,47.75,3.0,4.5,2.0
209,47.75,3.0,4.5,2.0
210,47.75,3.0,4.5,2.0
211,71.0,3.0,6.0,3.0
212,71.0,3.0,6.0,3.0
213,71.0,3.0,6.0,3.0
214,71.0,3.0,6.0,3.0
215,71.0,3.0,6.0,3.0
216,71.0,3.0,6.0,3.0
217,0.0,-1.0,0.0,-1.0
218,71.0,3.0,6.0,3.0
219,71.0,3.0,6.0,3.0
220,71.0,3.0,6.0,3.0
221,52.75,3.0,5.0,2.0
222,52.75,3.0,5.0,2.0
223,55.2,3.0,5.2,3.0
224,55.2,3.0,5.2,3.0
225,55.2,3.0,5.2,3.0
226,55.2,3.0,5.2,3.0
227,68.0,3.0,6.0,3.0
228,68.0,3.0,6.0,3.0
229,68.0,3.0,6.0,3.0
230,68.0,3.0,6.0,3.0
231,68.0,3.0,6.0,3.0
232,68.0,3.0,6.0,3.0
233,68.0,3.0,6.0,3.0
234,68.0,3.0,6.0,3.0
235,68.0,3.0,6.0,3.0
236,68.0,3.0,6.0,3.0
237,68.0,3.0,6.0,3.0
238,68.0,3.0,6.0,3.0
239,68.0,3.0,6.0,3.0
240,68.0,3.0,6.0,3.0
241,68.0,3.0,6.0,3.0
242,68.0,3.0,6.0,3.0
243,68.0,3.0,6.0,3.0
244,68.0,3.0,6.0,3.0
245,68.0,3.0,6.0,3.0
246,68.0,3.0,6.0,3.0
247,68.0,3.0,6.0,3.0
248,68.0,3.0,6.0,3.0
249,68.0,3.0,6.0,3.0
250,68.0,3.0,6.0,3.0
251,68.0,3.0,6.0,3.0
252,59.75,3.0,5.25,3.0
253,59.75,3.0,5.25,3.0
254,59.75,3.0,5.25,3.0
255,51.5,1.0,4.5,2.0
256,51.5,1.0,4.5,2.0
257,51.5,1.0,4.5,2.0
258,32.0,4.0,1.6666666,2.0
259,32.0,4.0,1.6666666,2.0
260,34.555557,4.0,2.5555556,2.0
261,34.555557,4.0,2.5555556,2.0
262,34.555557,4.0,2.5555556,2.0
263,34.555557,4.0,2.5555556,2.0
264,35.857143,4.0,2.7142856,2.0
265,35.857143,4.0,2.7142856,2.0
266,35.857143,4.0,2.7142856,2.0
267,35.857143,4.0,2.7142856,2.0
268,35.857143,4.0,2.7142856,2.0
269,35.857143,4.0,2.7142856,2.0
270,34.954544,1.0,2.5454545,2.0
271,32.1,1.0,2.3,2.0
272,32.1,1.0,2.3,2.0
273,34.8,1.0,2.8,2.0
274,34.8,1.0,2.8,2.0
275,34.8,1.0,2.8,2.0
276,43.0,3.0,3.5,0.0
277,43.0,3.0,3.5,0.0
278,43.0,3.0,3.5,0.0
279,50.0,3.0,4.0,0.0
280,50.0,3.0,4.0,0.0
281,50.0,3.0,4.0,0.0
282,50.0,3.0,4.0,0.0
283,50.0,3.0,4.0,0.0
284,50.0,3.0,4.0,0.0
285,50.0,3.0,4.0,0.0
286,50.0,3.0,4.0,0.0
287,50.0,3.0,4.0,0.0
288,50.0,3.0,4.0,3.0
289,50.0,3.0,4.0,3.0
290,50.0,3.0,4.0,3.0
291,50.0,3.0,4.0,3.0
292,46.25,3.0,4.0,2.0
293,46.25,3.0,4.0,2.0
294,46.25,3.0,4.0,2.0
295,46.25,3.0,4.0,2.0
296,46.25,3.0,4.0,2.0
297,0.0,-1.0,0.0,-1.0
298,42.0,3.0,4.0,2.0
299,42.0,3.0,4.0,2.0
300,42.0,3.0,4.0,2.0
301,42.0,3.0,4.0,2.0
302,42.0,3.0,4.0,2.0
303,42.0,3.0,4.0,2.0
304,45.0,3.0,4.0,2.0
305,45.0,3.0,4.0,2.0
306,43.25,1.0,3.75,2.0
307,43.25,1.0,3.75,2.0
308,43.25,1.0,3.75,2.0
309,47.0,3.0,4.0,2.0
310,47.0,3.0,4.0,2.0
311,47.0,3.0,4.0,2.0
312,47.0,3.0,4.0,2.0
313,42.333332,3.0,4.0,2.0
314,46.0,3.0,4.0,2.0
315,46.0,3.0,4.0,2.0
316,46.0,3.0,4.0,2.0
317,34.166668,1.0,3.0,0.0
318,34.166668,1.0,3.0,0.0
319,34.166668,1.0,3.0,0.0
320,34.166668,1.0,3.0,0.0
321,33.75,1.0,2.75,0.0
322,33.75,1.0,2.75,0.0
323,32.0,4.0,2.6,2.0
324,36.666668,1.0,3.0,0.0
325,36.666668,1.0,3.0,0.0
326,33.75,1.0,2.75,0.0
327,33.75,1.0,2.75,0.0
328,49.0,1.0,4.0,0.0
329,49.0,1.0,4.0,0.0
330,30.5,1.0,2.5,0.0
331,30.5,1.0,2.5,0.0
332,49.0,1.0,4.0,0.0
333,49.0,1.0,4.0,0.0
334,49.0,1.0,4.0,0.0
335,36.666668,1.0,3.0,0.0
336,36.666668,1.0,3.0,0.0
337,36.666668,1.0,3.0,0.0
338,32.25,4.0,2.75,2.0
339,32.25,4.0,2.75,2.0
340,49.0,1.0,4.0,0.0
341,49.0,1.0,4.0,0.0
342,49.0,1.0,4.0,0.0
343,49.0,1.0,4.0,0.0
344,49.0,1.0,4.0,0.0
345,49.0,1.0,4.0,0.0
346,49.0,1.0,4.0,0.0
347,49.0,1.0,4.0,0.0
348,37.333332,1.0,3.0,2.0
349,37.333332,1.0,3.0,2.0
350,37.333332,1.0,3.0,2.0
351,37.333332,1.0,3.0,2.0
352,37.333332,1.0,3.0,2.0
353,37.333332,1.0,3.0,2.0
354,37.333332,1.0,3.0,2.0
355,37.333332,1.0,3.0,2.0
356,37.333332,1.0,3.0,2.0
357,40.583332,4.0,3.0,2.0
358,40.583332,4.0,3.0,2.0
359,40.583332,4.0,3.0,2.0
360,31.25,4.0,2.5,0.0
361,39.5,3.0,3.5,2.0
362,39.5,3.0,3.5,2.0
363,39.5,3.0,3.5,2.0
364,39.5,3.0,3.5,2.0
365,39.5,3.0,3.5,2.0
366,51.0,3.0,4.0,2.0
367,51.0,3.0,4.0,2.0
368,51.0,3.0,4.0,2.0
369,51.0,3.0,4.0,2.0
370,39.666668,1.0,3.0,0.0
371,39.666668,1.0,3.0,0.0
372,49.8,3.0,3.6,2.0
373,49.8,3.0,3.6,2.0
374,49.8,3.0,3.6,2.0
375,49.8,3.0,3.6,2.0
376,69.0,3.0,6.0,3.0
377,69.0,3.0,6.0,3.0
378,69.0,3.0,6.0,3.0
379,69.0,3.0,6.0,3.0
380,69.0,3.0,6.0,3.0
381,69.0,3.0,6.0,3.0
382,69.0,3.0,6.0,3.0
383,69.0,3.0,6.0,3.0
384,69.0,3.0,6.0,3.0
385,69.0,3.0,6.0,3.0
386,69.0,3.0,6.0,3.0
387,69.0,3.0,6.0,3.0
388,69.0,3.0,6.0,3.0
389,56.0,1.0,5.0,2.0
390,56.0,1.0,5.0,2.0
391,56.0,1.0,5.0,2.0
392,69.0,3.0,6.0,3.0
393,69.0,3.0,6.0,3.0
394,51.0,3.0,5.0,2.0
395,51.0,3.0,5.0,2.0
396,50.375,3.0,5.0,2.0
397,50.375,3.0,5.0,2.0
398,50.375,3.0,5.0,2.0
399,67.5,3.0,6.0,0.0
400,67.5,3.0,6.0,0.0
401,67.5,3.0,6.0,0.0
402,61.875,3.0,5.25,3.0
403,61.875,3.0,5.25,3.0
404,66.5,3.0,6.0,3.0
405,66.5,3.0,6.0,3.0
406,66.5,3.0,6.0,3.0
407,66.5,3.0,6.0,3.0
408,66.5,3.0,6.0,3.0
409,66.5,3.0,6.0,3.0
410,66.5,3.0,6.0,3.0
411,66.5,3.0,6.0,3.0
412,66.5,3.0,6.0,3.0
413,66.5,3.0,6.0,3.0
414,66.5,3.0,6.0,3.0
415,66.5,3.0,6.0,3.0
416,56.25,3.0,4.5,3.0
417,56.25,3.0,4.5,3.0
418,56.25,3.0,4.5,3.0
419,56.25,3.0,4.5,3.0
420,56.25,3.0,4.5,3.0
421,42.454544,3.0,2.909091,2.0
422,42.454544,3.0,2.909091,2.0
423,42.454544,3.0,2.909091,2.0
424,42.454544,3.0,2.909091,2.0
425,48.5,3.0,4.0,0.0
426,59.0,3.0,6.0,3.0
427,59.0,3.0,6.0,3.0
428,59.0,3.0,6.0,3.0
429,59.0,3.0,6.0,3.0
430,59.0,3.0,6.0,3.0
431,59.0,3.0,6.0,3.0
432,59.0,3.0,6.0,3.0
433,59.0,3.0,6.0,3.0
434,59.0,3.0,6.0,3.0
435,59.0,3.0,6.0,3.0
436,59.0,3.0,6.0,3.0
437,59.0,3.0,6.0,3.0
438,59.0,3.0,6.0,3.0
439,59.0,3.0,6.0,3.0
440,59.0,3.0,6.0,3.0
441,59.0,3.0,6.0,3.0
442,59.0,3.0,6.0,3.0
443,59.0,3.0,6.0,3.0
444,59.0,3.0,6.0,3.0
445,59.0,3.0,6.0,3.0
446,59.0,3.0,6.0,3.0
447,59.0,3.0,6.0,3.0
448,59.0,3.0,6.0,3.0
449,59.0,3.0,6.0,3.0
450,59.0,3.0,6.0,3.0
451,59.0,3.0,6.0,3.0
452,59.0,3.0,6.0,3.0
453,59.0,3.0,6.0,3.0
454,59.0,3.0,6.0,3.0
455,59.0,3.0,6.0,3.0
456,59.0,3.0,6.0,3.0
457,59.0,3.0,6.0,3.0
458,0.0,-1.0,0.0,-1.0
459,53.5,3.0,5.0,2.0
460,53.5,3.0,5.0,2.0
461,53.5,3.0,5.0,2.0
462,56.5,3.0,5.0,2.0
463,56.5,3.0,5.0,2.0
464,69.0,3.0,6.0,3.0
465,69.0,3.0,6.0,3.0
466,69.0,3.0,6.0,3.0
467,0.0,-1.0,0.0,-1.0
468,69.0,3.0,6.0,3.0
469,69.0,3.0,6.0,3.0
470,69.0,3.0,6.0,3.0
471,69.0,3.0,6.0,3.0
472,69.0,3.0,6.0,3.0
473,69.0,3.0,6.0,3.0
474,69.0,3.0,6.0,3.0
475,69.0,3.0,6.0,3.0
476,51.57143,3.0,3.142857,2.0
477,51.57143,3.0,3.142857,2.0
478,51.57143,3.0,3.142857,2.0
479,51.57143,3.0,3.142857,2.0
480,69.0,3.0,4.0,2.0
481,69.0,3.0,4.0,2.0
482,69.0,3.0,4.0,2.0
483,69.0,3.0,4.0,2.0
484,69.0,3.0,4.0,2.0
485,50.0,3.0,4.0,2.0
486,47.75,3.0,3.75,2.0
487,47.75,3.0,3.75,2.0
488,47.75,3.0,3.75,2.0
489,60.0,3.0,4.0,2.0
490,60.0,3.0,4.0,2.0
491,60.0,3.0,4.0,2.0
492,60.0,3.0,4.0,2.0
493,60.0,3.0,4.0,2.0
494,60.0,3.0,4.0,2.0
495,0.0,-1.0,0.0,-1.0
496,48.0,3.0,3.5,2.0
497,48.0,3.0,3.5,2.0
498,48.0,3.0,3.5,2.0
499,48.0,3.0,3.5,2.0
500,46.5,1.0,3.625,3.0
501,36.0,4.0,3.0,3.0
502,32.5,1.0,2.5,3.0
503,32.5,1.0,2.5,3.0
504,36.18182,1.0,3.0,3.0
505,36.18182,1.0,3.0,3.0
506,36.18182,1.0,3.0,3.0
507,40.88889,1.0,3.5555556,3.0
508,35.77778,1.0,2.8888888,3.0
509,35.77778,1.0,2.8888888,3.0
510,35.77778,1.0,2.8888888,3.0
511,35.333332,1.0,2.6666667,3.0
512,35.333332,1.0,2.6666667,3.0
513,36.333332,4.0,3.0,3.0
514,30.5,1.0,2.75,3.0
515,37.4,4.0,3.0,3.0
516,37.4,4.0,3.0,3.0
517,32.0,1.0,2.5,3.0
518,34.0,1.0,2.8333333,3.0
519,34.0,1.0,2.8333333,3.0
520,31.0,1.0,3.0,2.0
521,29.75,1.0,2.25,3.0
522,29.75,1.0,2.25,3.0
523,37.0,1.0,2.6666667,3.0
524,38.0,1.0,2.75,3.0
525,38.0,1.0,2.75,3.0
526,38.5,1.0,2.5,3.0
527,38.5,1.0,2.5,3.0
528,38.5,1.0,2.5,3.0
529,37.75,1.0,2.5,2.0
530,37.75,1.0,2.5,2.0
531,37.75,1.0,2.5,2.0
532,37.75,4.0,2.5,2.0
533,37.75,4.0,2.5,2.0
534,41.0,4.0,2.0,2.0
535,41.0,4.0,2.0,2.0
536,42.75,4.0,2.5,2.0
537,42.75,4.0,2.5,2.0
538,44.5,4.0,3.0,2.0
539,44.5,4.0,3.0,2.0
540,44.5,4.0,3.0,2.0
541,44.5,4.0,3.0,2.0
542,44.5,4.0,3.0,2.0
543,44.5,4.0,3.0,2.0
544,44.5,4.0,3.0,2.0
545,44.5,4.0,3.0,2.0
546,44.5,4.0,3.0,2.0
547,44.5,4.0,3.0,2.0
548,52.25,3.0,4.5,2.0
549,52.25,3.0,4.5,2.0
550,52.25,3.0,4.5,2.0
551,52.25,3.0,4.5,2.0
552,52.25,3.0,4.5,2.0
553,52.25,3.0,4.5,2.0
554,52.25,3.0,4.5,2.0
555,52.25,3.0,4.5,2.0
556,55.5,3.0,4.5,3.0
557,55.5,3.0,4.5,3.0
558,55.5,3.0,4.5,3.0
559,55.5,3.0,4.5,3.0
560,54.0,3.0,4.0,3.0
561,61.0,3.0,4.75,3.0
562,61.0,3.0,4.75,3.0
563,61.0,3.0,4.75,3.0
564,104.0,3.0,8.0,3.0
565,55.375,1.0,4.25,2.0
566,55.375,1.0,4.25,2.0
567,55.375,1.0,4.25,2.0
568,55.375,1.0,4.25,2.0
569,55.375,1.0,4.25,2.0
570,55.375,1.0,4.25,2.0
571,33.0,1.0,3.0,2.0
572,33.0,1.0,3.0,2.0
573,33.0,1.0,3.0,2.0
574,33.0,1.0,3.0,2.0
575,106.0,3.0,8.0,3.0
576,106.0,3.0,8.0,3.0
577,106.0,3.0,8.0,3.0
578,106.0,3.0,8.0,3.0
579,30.0,4.0,2.0,1.0
580,30.0,4.0,2.0,1.0
581,30.0,4.0,2.0,1.0
582,27.5,4.0,2.0,1.0
583,26.666666,4.0,2.0,1.0
584,30.0,4.0,2.0,1.0
585,30.0,4.0,2.0,1.0
586,22.0,4.0,1.5,1.0
587,22.0,4.0,1.5,1.0
588,22.0,4.0,1.5,1.0
589,22.0,4.0,1.5,1.0
590,22.0,4.0,1.5,1.0
591,31.0,4.0,2.8333333,1.0
592,31.0,4.0,2.8333333,1.0
593,31.25,4.0,2.75,1.0
594,31.25,4.0,2.75,1.0
595,31.25,4.0,2.75,1.0
596,31.25,4.0,2.75,1.0
597,31.25,4.0,2.75,1.0
598,0.0,-1.0,0.0,-1.0
599,31.0,4.0,3.0,1.0
600,31.0,4.0,3.0,1.0
601,31.0,4.0,3.0,1.0
602,31.0,4.0,3.0,1.0
603,31.0,4.0,3.0,1.0
604,31.0,4.0,3.0,1.0
605,31.0,4.0,3.0,1.0
606,31.0,4.0,3.0,1.0
607,31.0,4.0,3.0,1.0
608,31.0,4.0,3.0,1.0
609,31.0,4.0,3.0,1.0
610,31.0,4.0,3.0,1.0
611,31.0,4.0,3.0,1.0
612,31.0,4.0,3.0,1.0
613,31.0,4.0,3.0,1.0
614,32.0,3.0,3.0,0.0
615,32.0,3.0,3.0,0.0
616,32.0,3.0,3.0,0.0
617,32.0,3.0,3.0,0.0
618,32.0,3.0,3.0,0.0
619,32.0,3.0,3.0,0.0
620,32.0,3.0,3.0,0.0
621,31.0,4.0,3.0,1.0
622,31.0,4.0,3.0,1.0
623,31.0,4.0,3.0,1.0
624,31.0,4.0,3.0,1.0
625,31.6,3.0,3.6,0.0
626,31.6,3.0,3.6,0.0
627,31.6,3.0,3.6,0.0
628,31.6,3.0,3.6,0.0
629,33.0,4.0,3.0,1.0
630,33.0,4.0,3.0,1.0
631,33.0,4.0,3.0,1.0
632,33.0,4.0,3.0,1.0
633,33.0,4.0,3.0,1.0
634,33.0,4.0,3.0,1.0
635,33.0,4.0,3.0,1.0
636,33.0,4.0,3.0,1.0
637,33.0,4.0,3.0,1.0
638,33.0,4.0,3.0,1.0
639,33.0,4.0,3.0,1.0
640,33.0,4.0,3.0,1.0
641,33.0,4.0,3.0,1.0
642,33.0,4.0,3.0,1.0
643,33.0,4.0,3.0,1.0
644,32.18182,4.0,2.6363637,0.0
645,32.18182,4.0,2.6363637,0.0
646,32.18182,4.0,2.6363637,0.0
647,32.18182,4.0,2.6363637,0.0
648,32.18182,4.0,2.6363637,0.0
649,33.0,4.0,3.0,1.0
650,33.0,4.0,3.0,1.0
651,33.0,4.0,3.0,1.0
652,33.0,4.0,3.0,1.0
653,33.0,4.0,3.0,1.0
654,33.0,4.0,3.0,1.0
655,33.0,4.0,3.0,1.0
656,33.0,4.0,3.0,1.0
657,31.5,1.0,3.0,0.0
658,31.5,1.0,3.0,0.0
659,31.5,1.0,3.0,0.0
660,31.5,1.0,3.0,0.0
661,33.0,4.0,3.0,1.0
662,33.0,4.0,3.0,1.0
663,33.0,4.0,3.0,1.0
664,33.0,4.0,3.0,1.0
665,33.0,4.0,3.0,1.0
666,33.0,4.0,3.0,1.0
667,33.0,4.0,3.0,1.0
668,33.0,4.0,3.0,1.0
669,33.0,4.0,3.0,1.0
670,33.0,4.0,3.0,1.0
671,33.0,4.0,3.0,1.0
672,33.0,4.0,3.0,1.0
673,33.0,4.0,3.0,1.0
674,33.0,4.0,3.0,1.0
675,33.0,4.0,3.0,1.0
676,33.0,4.0,3.0,1.0
677,33.0,4.0,3.0,1.0
678,33.0,4.0,3.0,1.0
679,33.0,4.0,3.0,1.0
680,33.5,3.0,3.5,1.0
681,33.5,3.0,3.5,1.0
682,33.0,4.0,3.0,1.0
683,34.0,3.0,4.0,3.0
684,34.0,3.0,4.0,3.0
685,34.0,3.0,4.0,3.0
686,34.0,3.0,4.0,3.0
687,33.5,1.0,3.5,3.0
688,33.5,1.0,3.5,3.0
689,33.5,1.0,3.5,3.0
690,32.0,1.0,3.0,1.0
691,32.0,1.0,3.0,1.0
692,34.0,3.0,4.0,3.0
693,34.0,3.0,4.0,3.0
694,34.0,3.0,4.0,3.0
695,34.0,3.0,4.0,3.0
696,34.0,3.0,4.0,3.0
697,34.0,3.0,4.0,3.0
698,34.0,3.0,4.0,3.0
699,27.0,3.0,3.0,3.0
700,27.0,3.0,3.0,3.0
701,27.0,3.0,3.0,3.0
702,27.0,3.0,3.0,3.0
703,20.0,1.0,2.0,2.0
704,37.875,1.0,3.5,2.0
705,37.875,1.0,3.5,2.0
706,37.875,1.0,3.5,2.0
707,37.875,1.0,3.5,2.0
708,37.875,1.0,3.5,2.0
709,38.92857,4.0,3.4285715,2.0
710,38.92857,4.0,3.4285715,2.0
711,38.92857,4.0,3.4285715,2.0
712,38.92857,4.0,3.4285715,2.0
713,38.92857,4.0,3.4285715,2.0
714,43.75,1.0,4.0,2.0
715,40.0,4.0,4.0,2.0
716,40.0,4.0,4.0,2.0
717,40.0,4.0,4.0,2.0
718,40.0,4.0,4.0,2.0
719,42.85,4.0,4.0,2.0
720,42.85,4.0,4.0,2.0
721,42.0,4.0,4.0,2.0
722,42.0,4.0,4.0,2.0
723,42.0,4.0,4.0,2.0
724,0.0,-1.0,0.0,-1.0
725,42.0,4.0,4.0,2.0
726,42.0,4.0,4.0,2.0
727,42.0,4.0,4.0,2.0
728,0.0,-1.0,0.0,-1.0
729,0.0,-1.0,0.0,-1.0
730,0.0,-1.0,0.0,-1.0
731,31.75,4.0,2.5,0.0
732,31.75,4.0,2.5,0.0
733,31.0,4.0,3.0,0.0
734,31.0,4.0,3.0,0.0
735,31.0,4.0,3.0,0.0
736,31.0,4.0,3.0,2.0
737,31.0,4.0,3.0,2.0
738,31.0,4.0,3.0,2.0
739,31.0,4.0,3.0,2.0
740,31.0,4.0,3.0,2.0
741,31.0,4.0,3.0,2.0
742,31.0,4.0,3.0,2.0
743,31.0,4.0,3.0,2.0
744,31.0,4.0,3.0,2.0
745,31.0,4.0,3.0,2.0
746,0.0,-1.0,0.0,-1.0
747,31.0,4.0,3.0,2.0
748,31.0,4.0,3.0,2.0
749,31.0,4.0,3.0,2.0
750,31.0,4.0,3.0,2.0
751,31.0,4.0,3.0,2.0
752,31.0,4.0,3.0,2.0
753,31.0,4.0,3.0,2.0
754,31.0,4.0,3.0,2.0
755,31.0,4.0,3.0,2.0
756,31.0,4.0,3.0,2.0
757,31.0,4.0,3.0,2.0
758,31.0,4.0,3.0,2.0
759,31.0,4.0,3.0,2.0
760,0.0,-1.0,0.0,-1.0
