feature,data_type,n_distinct,n_missing,n_negative,n_zeros,count,mean,std,min,25%,50%,75%,max
landsat_8_ui,float64,3708 (33.02%),0 (0.00%),103 (0.92%),0 (0.00%),11229.0,0.2069525488191251,0.13971967315521833,-0.105849117095678,0.1231313990561596,0.170414698284308,0.2409536659222699,0.8122278453957047
landsat_8_ibi,float64,1796 (15.99%),0 (0.00%),7293 (64.95%),0 (0.00%),11229.0,-0.28742926016604314,0.7713989496893533,-1.0,-1.0,-0.6006987924773755,0.4282603404103439,1.0
landsat_8_albedo,float64,3707 (33.01%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.15140552036241928,0.04168344851761201,0.0279559867125984,0.1248790871062992,0.1456252386811023,0.1699744045275591,0.438819466043307
no2_july24,float64,29 (0.26%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.00021860131240279216,3.584519813276573e-05,0.0001543010730528,0.0002023973211179,0.0002023973211181,0.0002539715205784,0.0002773678719541
overlay_level1_res30,float64,3 (0.03%),0 (0.00%),8848 (78.80%),1601 (14.26%),11229.0,-0.7184967494879331,0.5841365873218056,-1.0,-1.0,-1.0,-1.0,1.0
has_residence_res100,float64,2 (0.02%),0 (0.00%),0 (0.00%),2215 (19.73%),11229.0,0.8027428978537715,0.3979457760092182,0.0,1.0,1.0,1.0,1.0
has_manufacture_res100,float64,2 (0.02%),0 (0.00%),0 (0.00%),8808 (78.44%),11229.0,0.21560245792145338,0.41125794852997616,0.0,0.0,0.0,0.0,1.0
has_commercial_res100,float64,2 (0.02%),0 (0.00%),0 (0.00%),8440 (75.16%),11229.0,0.24837474396651527,0.4320895245650057,0.0,0.0,0.0,0.0,1.0
has_park_res100,float64,2 (0.02%),0 (0.00%),0 (0.00%),8364 (74.49%),11229.0,0.2551429334758215,0.4359609420157793,0.0,0.0,0.0,1.0,1.0
has_residence_res1000,float64,2 (0.02%),0 (0.00%),0 (0.00%),372 (3.31%),11229.0,0.9668714934544483,0.17898005860750604,0.0,1.0,1.0,1.0,1.0
has_manufacture_res1000,float64,2 (0.02%),0 (0.00%),0 (0.00%),4744 (42.25%),11229.0,0.5775224864190934,0.49397570245722977,0.0,0.0,1.0,1.0,1.0
has_commercial_res1000,float64,2 (0.02%),0 (0.00%),0 (0.00%),2096 (18.67%),11229.0,0.8133404577433432,0.389655333461165,0.0,1.0,1.0,1.0,1.0
has_park_res1000,float64,2 (0.02%),0 (0.00%),0 (0.00%),1045 (9.31%),11229.0,0.9069373942470389,0.2905330863425399,0.0,1.0,1.0,1.0,1.0
has_residence_res200,float64,2 (0.02%),0 (0.00%),0 (0.00%),1594 (14.20%),11229.0,0.8580461305548134,0.34901836132129077,0.0,1.0,1.0,1.0,1.0
has_manufacture_res200,float64,2 (0.02%),0 (0.00%),0 (0.00%),8272 (73.67%),11229.0,0.263336004987087,0.44046274623463255,0.0,0.0,0.0,1.0,1.0
has_commercial_res200,float64,2 (0.02%),0 (0.00%),0 (0.00%),7541 (67.16%),11229.0,0.32843530145159855,0.46966498534002366,0.0,0.0,0.0,1.0,1.0
has_park_res200,float64,2 (0.02%),0 (0.00%),0 (0.00%),6966 (62.04%),11229.0,0.37964199839700774,0.48531940723870975,0.0,0.0,0.0,1.0,1.0
zonedist_level1_res30,float64,4 (0.04%),0 (0.00%),0 (0.00%),2011 (17.91%),11229.0,2.015228426395939,1.1934536712406485,0.0,1.0,3.0,3.0,3.0
has_residence_res30,float64,2 (0.02%),0 (0.00%),0 (0.00%),3272 (29.14%),11229.0,0.708611630599341,0.4544222457411051,0.0,0.0,1.0,1.0,1.0
has_manufacture_res30,float64,2 (0.02%),0 (0.00%),0 (0.00%),9158 (81.56%),11229.0,0.1844331641285956,0.38785431381751334,0.0,0.0,0.0,0.0,1.0
has_commercial_res30,float64,2 (0.02%),0 (0.00%),0 (0.00%),9135 (81.35%),11229.0,0.18648143200641196,0.38951202668582324,0.0,0.0,0.0,0.0,1.0
has_park_res30,float64,2 (0.02%),0 (0.00%),0 (0.00%),9540 (84.96%),11229.0,0.1504141063318194,0.35749277515744526,0.0,0.0,0.0,0.0,1.0
has_residence_res500,float64,2 (0.02%),0 (0.00%),0 (0.00%),703 (6.26%),11229.0,0.937394247038917,0.2422632853654979,0.0,1.0,1.0,1.0,1.0
has_manufacture_res500,float64,2 (0.02%),0 (0.00%),0 (0.00%),6260 (55.75%),11229.0,0.442514916733458,0.4967065901052952,0.0,0.0,0.0,1.0,1.0
has_commercial_res500,float64,2 (0.02%),0 (0.00%),0 (0.00%),5224 (46.52%),11229.0,0.5347760263603171,0.4988113732107356,0.0,0.0,1.0,1.0,1.0
has_park_res500,float64,2 (0.02%),0 (0.00%),0 (0.00%),3074 (27.38%),11229.0,0.7262445453735863,0.4459048246187876,0.0,0.0,1.0,1.0,1.0
o3_july24,float64,32 (0.28%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.14804580885963212,0.00020966397611367192,0.1478179425705308,0.1479284465312923,0.1480072587728466,0.1480111147091512,0.1495011895894372
population_res1000,float64,84 (0.75%),0 (0.00%),0 (0.00%),40 (0.36%),11229.0,17176.866272988234,10137.109348381991,0.0,9967.45101292928,16282.47876550808,26053.54858104388,44340.11022673713
street_width_res100,float64,715 (6.37%),0 (0.00%),0 (0.00%),11 (0.10%),11229.0,40.503794962329685,9.250974891387674,0.0,33.1,39.2,46.357143,71.0
street_traffic_res100,float64,5 (0.04%),0 (0.00%),11 (0.10%),0 (0.00%),11229.0,2.594621070442604,1.169950744529643,-1.0,1.0,3.0,4.0,4.0
street_lanes_res100,float64,269 (2.40%),0 (0.00%),0 (0.00%),11 (0.10%),11229.0,3.5680432699617057,0.9927266438784261,0.0,3.0,3.5,4.0,6.5
street_orientation_res100,float64,5 (0.04%),0 (0.00%),11 (0.10%),1848 (16.46%),11229.0,1.840591326030813,1.003496668698678,-1.0,1.0,2.0,3.0,3.0
street_width_res30,float64,535 (4.76%),0 (0.00%),0 (0.00%),862 (7.68%),11229.0,39.126429760174545,16.345607720736943,0.0,30.0,38.0,50.0,106.0
street_traffic_res30,float64,5 (0.04%),0 (0.00%),862 (7.68%),0 (0.00%),11229.0,2.4009261733012734,1.4859222529839395,-1.0,1.0,3.0,4.0,4.0
street_lanes_res30,float64,135 (1.20%),0 (0.00%),0 (0.00%),862 (7.68%),11229.0,3.4695149511888856,1.559054029338767,0.0,3.0,3.5,4.0,8.0
street_orientation_res30,float64,5 (0.04%),0 (0.00%),862 (7.68%),1441 (12.83%),11229.0,1.6475198147653398,1.1886862543568282,-1.0,1.0,2.0,2.0,3.0
has_residence_res30_distance,float64,197 (1.75%),0 (0.00%),0 (0.00%),7957 (70.86%),11229.0,1.9966308595778788,5.083485152821306,0.0,0.0,0.0,1.0,35.112698
has_manufacture_res30_distance,float64,1063 (9.47%),0 (0.00%),0 (0.00%),2071 (18.44%),11229.0,20.594224609154868,21.716110414515043,0.0,3.0,13.313708,30.142136,92.92388
has_commercial_res30_distance,float64,531 (4.73%),0 (0.00%),0 (0.00%),2094 (18.65%),11229.0,11.182932695921275,10.539950833138972,0.0,2.0,9.0,17.142136,48.526913
has_park_res30_distance,float64,264 (2.35%),0 (0.00%),0 (0.00%),1689 (15.04%),11229.0,7.054161370496036,6.369307498951547,0.0,2.0,5.656854,10.828427,29.79899
aod55_mean_3x3,float64,69 (0.61%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.19149389477642215,0.01437261388704601,0.1704444444444444,0.1808888888888889,0.1870555555555555,0.2042777777777777,0.2225555555555555
building_height_res100_mean_3x3,float64,1320 (11.76%),0 (0.00%),0 (0.00%),288 (2.56%),11229.0,65.99663641214711,42.845125059796075,0.0,40.66715,58.156357,84.43575,330.60373
building_height_std_res100_mean_3x3,float64,1299 (11.57%),0 (0.00%),542 (4.83%),0 (0.00%),11229.0,25.726118380270776,23.85624625579841,-1.0,11.532061,17.922525,33.57607,204.62955
building_year_res100_mean_3x3,float64,1318 (11.74%),0 (0.00%),0 (0.00%),288 (2.56%),11229.0,1725.7261492813252,437.19408957983626,0.0,1718.0638,1926.9852,1941.3197,1994.6111
building_height_res30_mean_3x3,float64,3722 (33.15%),0 (0.00%),0 (0.00%),957 (8.52%),11229.0,56.830116578386324,51.342561663886585,0.0,24.184074,46.75138,69.972404,466.90744
building_height_std_res30_mean_3x3,float64,3143 (27.99%),0 (0.00%),2882 (25.67%),38 (0.34%),11229.0,6.94781909908512,11.425647865560782,-1.0,-0.08262987,3.1202066,8.597992,112.92475
building_year_res30_mean_3x3,float64,3381 (30.11%),0 (0.00%),0 (0.00%),957 (8.52%),11229.0,1369.3211216617688,624.3771705394324,0.0,1064.8889,1538.3334,1921.9099,2013.9445
var_res100_mean_3x3,float64,1325 (11.80%),0 (0.00%),0 (0.00%),288 (2.56%),11229.0,1.757714204947012,1.0741529159402212,0.0,1.1125998,1.5991443,2.225315,7.8494077
building_area_per_pixel_res100_mean_3x3,float64,1324 (11.79%),0 (0.00%),0 (0.00%),288 (2.56%),11229.0,0.21365406097357292,0.08841138863400827,0.0,0.16591915,0.21806282,0.27657744,0.48893845
var_res30_mean_3x3,float64,3661 (32.60%),0 (0.00%),0 (0.00%),1073 (9.56%),11229.0,1.4128757658265205,1.2906973453613886,0.0,0.5492727,1.1426047,1.8900226,13.243403
building_area_per_pixel_res30_mean_3x3,float64,3805 (33.89%),0 (0.00%),0 (0.00%),957 (8.52%),11229.0,0.19055411617664408,0.11734350874372887,0.0,0.10099174,0.19589376,0.27294433,0.5853235
canopy_heigth_res10_mean_3x3,int64,15 (0.13%),0 (0.00%),0 (0.00%),8990 (80.06%),11229.0,0.5601567370202155,1.5120526974373183,0.0,0.0,0.0,0.0,14.0
canopy_heigth_count_res10_mean_3x3,int64,10 (0.09%),0 (0.00%),0 (0.00%),8946 (79.67%),11229.0,4.549292011755276,11.84693364276056,0.0,0.0,0.0,0.0,81.0
canopy_heigth_res30_mean_3x3,int64,11 (0.10%),0 (0.00%),0 (0.00%),8052 (71.71%),11229.0,0.6324694986196455,1.341235838718395,0.0,0.0,0.0,1.0,10.0
canopy_heigth_count_res30_mean_3x3,int64,6 (0.05%),0 (0.00%),0 (0.00%),10682 (95.13%),11229.0,0.10187906314008371,0.6024716304770908,0.0,0.0,0.0,0.0,8.0
canopy_heigth_res5_mean_3x3,int64,24 (0.21%),0 (0.00%),0 (0.00%),9636 (85.81%),11229.0,0.5348650814854395,1.8768554605292394,0.0,0.0,0.0,0.0,25.0
canopy_heigth_count_res5_mean_3x3,int64,10 (0.09%),0 (0.00%),0 (0.00%),8861 (78.91%),11229.0,1.459880666132336,3.675630279012761,0.0,0.0,0.0,0.0,16.0
co_july24_mean_3x3,float64,61 (0.54%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.04746024615160392,0.0007456747123255999,0.0467937812209095,0.0470999593484198,0.0473856294065015,0.047441318631175,0.0518660370907694
hcho_july24_mean_3x3,float64,56 (0.50%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.00017259417271957766,5.480794991150275e-05,7.901309028006265e-05,0.0001356658074455,0.0001453363361036,0.0002067688474198,0.0004143660716712
coastal_mean_3x3,float64,3990 (35.53%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.09939431798616673,0.03033311863392341,0.0064883333333333,0.0803197222222222,0.0981916666666666,0.1177991666666666,0.3381933333333333
lwir11_mean_3x3,float64,4064 (36.19%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,36.869015562878275,2.4287869259409804,27.83909534000003,35.666361140000014,37.15471896000002,38.38178814000001,47.26028498000001
landsat_8_arvi_mean_3x3,float64,4175 (37.18%),0 (0.00%),1626 (14.48%),0 (0.00%),11229.0,0.15539869740557405,0.19606762686042692,-0.1041423950987458,0.0266231131242026,0.0933147510295979,0.2069688621575326,0.8954981484140413
landsat_8_ndwi_mean_3x3,float64,4175 (37.18%),0 (0.00%),11229 (100.00%),0 (0.00%),11229.0,-0.26861514475696485,0.15137762114620562,-0.8164519277564684,-0.317265504683182,-0.2242816514154569,-0.1664334176724639,-0.0188134380519875
landsat_8_awei_nsh_mean_3x3,float64,4168 (37.12%),0 (0.00%),11229 (100.00%),0 (0.00%),11229.0,-0.8327857861774077,0.16317216717384558,-1.6783742361111111,-0.9311679166666668,-0.8186776388888889,-0.7212092361111112,-0.2640400694444444
landsat_8_awei_sh_mean_3x3,float64,4162 (37.06%),0 (0.00%),1463 (13.03%),0 (0.00%),11229.0,0.1174433380334649,0.14461637210613384,-0.2340506249999999,0.0280343055555555,0.0777611805555555,0.1548261111111111,0.7725471527777779
landsat_8_si_mean_3x3,float64,4175 (37.18%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.32329277520260485,0.10328934961698241,0.0362125596339687,0.2589104651542093,0.2949606639410012,0.3535843856128988,0.8020974115841034
landsat_8_ndbi_mean_3x3,float64,4175 (37.18%),0 (0.00%),7332 (65.30%),0 (0.00%),11229.0,-0.052033657450552,0.10183314783194099,-0.4341028979163658,-0.0823241119376408,-0.0243265724829161,0.0151401652428498,0.2191702820553799
landsat_8_ui_mean_3x3,float64,4175 (37.18%),0 (0.00%),5 (0.04%),0 (0.00%),11229.0,0.21014747167674655,0.12005286059871824,-0.0465765267311237,0.1392649676942524,0.1753242706456742,0.230996104488245,0.7561100536357482
landsat_8_ibi_mean_3x3,float64,3789 (33.74%),0 (0.00%),8077 (71.93%),0 (0.00%),11229.0,-0.27279280548676604,0.5808120065803384,-1.0,-0.7467130942403161,-0.4126850272180407,0.068537378675136,1.0
landsat_8_albedo_mean_3x3,float64,4175 (37.18%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.15528693276073144,0.03080691186167338,0.0521118044619422,0.1340390772637795,0.1522180599300087,0.1734302047790901,0.3936777559055118
no2_july24_mean_3x3,float64,56 (0.50%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.00021755391312171748,3.3649634217041896e-05,0.0001543010730529,0.0001952321475422,0.0002026755847517,0.0002539715205785,0.0002752337945473
o3_july24_mean_3x3,float64,61 (0.54%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.14806073573412015,0.00016909329596905432,0.1477905431151449,0.1479424812113652,0.1480074788892274,0.1480863855973445,0.1491121919708072
population_res1000_mean_3x3,float64,84 (0.75%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,15421.36906653994,4899.972716697131,1488.316998010026,12545.815345080407,16927.546059025106,18756.74118154106,23715.85494794722
street_width_res100_mean_3x3,float64,1331 (11.85%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,37.136220320242224,6.281616328198693,11.5,33.48488,37.13644,41.231644,70.65463
street_lanes_res100_mean_3x3,float64,1288 (11.47%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,3.2756034790934185,0.7167759056088525,0.5555556,2.9820988,3.341891,3.7227511,4.919753
street_width_res30_mean_3x3,float64,2563 (22.82%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,27.28597526113634,8.712791203263288,3.1111112,20.444445,27.14815,33.333332,59.731487
street_lanes_res30_mean_3x3,float64,1329 (11.84%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,2.4091375993018076,0.8207858008437562,0.2777778,1.7777778,2.3777778,3.0,6.0
aod55_std_dev_3x3,float64,69 (0.61%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.014381336523789881,0.004258201401326099,0.0040139502964246,0.0117357741568985,0.0138686519234148,0.0168720676464583,0.0250112320447246
building_height_res100_std_dev_3x3,float64,1323 (11.78%),0 (0.00%),0 (0.00%),288 (2.56%),11229.0,27.037168021542435,27.664649130073116,0.0,9.971631,18.278282,35.78291,226.64058
building_height_std_res100_std_dev_3x3,float64,1300 (11.58%),0 (0.00%),0 (0.00%),288 (2.56%),11229.0,16.00323120116484,15.215439815516405,0.0,6.183822,11.713296,21.291697,127.94769
building_year_res100_std_dev_3x3,float64,1321 (11.76%),0 (0.00%),0 (0.00%),288 (2.56%),11229.0,227.12366428974977,352.18190239984887,0.0,10.715778,16.319468,606.1523,998.7937
building_height_res30_std_dev_3x3,float64,3725 (33.17%),0 (0.00%),0 (0.00%),957 (8.52%),11229.0,32.45139695487933,34.845714359190936,0.0,10.917729,22.125067,41.8013,355.28635
building_height_std_res30_std_dev_3x3,float64,3156 (28.11%),0 (0.00%),0 (0.00%),993 (8.84%),11229.0,9.286058205983615,13.315003841852937,0.0,0.6849349,5.0435543,11.021877,147.42941
building_year_res30_std_dev_3x3,float64,3595 (32.02%),0 (0.00%),0 (0.00%),958 (8.53%),11229.0,474.2263902245908,407.9948777189237,0.0,15.851177,608.03125,904.9988,1002.2554
var_res100_std_dev_3x3,float64,1327 (11.82%),0 (0.00%),0 (0.00%),288 (2.56%),11229.0,0.7658968097093241,0.7319034792434859,0.0,0.31868842,0.5167013,0.98665255,5.729173
building_area_per_pixel_res100_std_dev_3x3,float64,1325 (11.80%),0 (0.00%),0 (0.00%),288 (2.56%),11229.0,0.09366354278264316,0.03991971633561397,0.0,0.068640366,0.09125042,0.11625148,0.28380337
var_res30_std_dev_3x3,float64,3647 (32.48%),0 (0.00%),0 (0.00%),1092 (9.72%),11229.0,0.8512403928452946,0.9047167552595198,0.0,0.2851358,0.5964115,1.0633404,7.390892
building_area_per_pixel_res30_std_dev_3x3,float64,3806 (33.89%),0 (0.00%),0 (0.00%),957 (8.52%),11229.0,0.15720478322902015,0.07196663354369602,0.0,0.1286879,0.16841821,0.20445529,0.33589956
canopy_heigth_res10_std_dev_3x3,int64,10 (0.09%),0 (0.00%),0 (0.00%),8594 (76.53%),11229.0,0.5500044527562561,1.2001800608502613,0.0,0.0,0.0,0.0,9.0
canopy_heigth_count_res10_std_dev_3x3,int64,5 (0.04%),0 (0.00%),0 (0.00%),8984 (80.01%),11229.0,6.243832932585271,12.773960370233983,0.0,0.0,0.0,0.0,40.0
canopy_heigth_res30_std_dev_3x3,int64,7 (0.06%),0 (0.00%),0 (0.00%),7274 (64.78%),11229.0,0.6721880844242586,1.1136170290159746,0.0,0.0,0.0,1.0,6.0
canopy_heigth_count_res30_std_dev_3x3,int64,4 (0.04%),0 (0.00%),0 (0.00%),10682 (95.13%),11229.0,0.2675215958678422,1.1946459470922342,0.0,0.0,0.0,0.0,7.0
canopy_heigth_res5_std_dev_3x3,int64,10 (0.09%),0 (0.00%),0 (0.00%),9594 (85.44%),11229.0,0.3079526226734349,0.8989315903714414,0.0,0.0,0.0,0.0,9.0
canopy_heigth_count_res5_std_dev_3x3,int64,4 (0.04%),0 (0.00%),0 (0.00%),9175 (81.71%),11229.0,1.1235194585448391,2.402974319810903,0.0,0.0,0.0,0.0,7.0
co_july24_std_dev_3x3,float64,64 (0.57%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.000328171926245168,0.0004958637204419617,8.939713936630744e-15,2.219560067270507e-14,0.0001833852793115,0.0002745981929019,0.0022038161046505
hcho_july24_std_dev_3x3,float64,64 (0.57%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,2.2194896960772557e-05,3.761509493205358e-05,2.6628197202537475e-17,8.092209715458241e-17,9.128781707916525e-06,2.5959498217485595e-05,0.0001730608503656
coastal_std_dev_3x3,float64,4190 (37.31%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.026772094450342863,0.015441657442059095,0.001792160827632,0.0160749748910196,0.0241904545217558,0.0341922796837112,0.1488697905506024
lwir11_std_dev_3x3,float64,4190 (37.31%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.5282219554326902,0.3731503574000455,0.0343863474533675,0.2968840122435753,0.4512470463630386,0.6709699132017503,5.400854437787609
landsat_8_arvi_std_dev_3x3,float64,4175 (37.18%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.10371017324122446,0.06191969396626741,0.008280839995568,0.0581336857098856,0.0876686195660262,0.1357554596577671,0.3467035695505104
landsat_8_ndwi_std_dev_3x3,float64,4175 (37.18%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.08412503809602127,0.04559993682038503,0.0108356767763819,0.0498270177845519,0.0727966714296103,0.1083016660147012,0.3255731155209463
landsat_8_awei_nsh_std_dev_3x3,float64,4175 (37.18%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.14513371233424932,0.07799622683417627,0.0113349024653295,0.0917557957778956,0.1310101920455096,0.1824485228820244,0.7919988686081328
landsat_8_awei_sh_std_dev_3x3,float64,4175 (37.18%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.08375370194206279,0.04394635305811526,0.0070900555343882,0.0530193098453172,0.0743657503753371,0.1050907403452725,0.3712546554649232
landsat_8_si_std_dev_3x3,float64,4175 (37.18%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.06837792873949078,0.03687908262046179,0.0060694032085971,0.0420469830790979,0.0601076812861844,0.0848756094079657,0.2950260536814318
landsat_8_ndbi_std_dev_3x3,float64,4175 (37.18%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.06242787511897695,0.028874836790737785,0.0051635788250698,0.0412458703081993,0.0566862093865433,0.0780910686723045,0.1929781592026529
landsat_8_ui_std_dev_3x3,float64,4175 (37.18%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.07039701460241037,0.039443696855689624,0.005067517453337,0.0433587268454413,0.059782982259259,0.085848356898298,0.2691290587730263
landsat_8_ibi_std_dev_3x3,float64,3780 (33.66%),0 (0.00%),0 (0.00%),744 (6.63%),11229.0,0.4542620575451437,0.25463738080333626,0.0,0.2564341932876929,0.488536867185413,0.6570242944811979,0.9938079899999066
landsat_8_albedo_std_dev_3x3,float64,4175 (37.18%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,0.029508349750359996,0.01671467517738463,0.0029648179639668,0.0178818336084119,0.0264017889468816,0.0368975710831685,0.1527711962231962
no2_july24_std_dev_3x3,float64,64 (0.57%),0 (0.00%),0 (0.00%),0 (0.00%),11229.0,9.87775542617501e-06,1.1051417713220363e-05,3.8153452254917343e-17,9.93975730635408e-17,6.16940239306028e-06,1.85433362137657e-05,3.8171472531469856e-05
